[2026-08-19T19:36:45.333Z] RECV | IPID:NEtOicQX2YjFjhnu8U/9bw | HDID:UuL8doZ2Q1jLraIZrahDEQ | ID#webAO#2.9.0#
[2026-08-19T19:36:46.544Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID: | decryptor#JSON#%
[2026-08-19T19:36:46.615Z] RECV | IPID:brzhi4i+xWrK0GrfFboLtA | HDID: | HI#b608a6580bc30902d2acbc97206c1952#
[2026-08-19T19:36:46.616Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | ID#0#Nyathena#v1.0.2#%
[2026-08-19T19:36:46.667Z] RECV | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | ID#LemmyAO#2.9.0#
[2026-08-19T19:36:46.667Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | PN#0#500#Dominos Pizza ft Hatsune Miku. Trashpit for trashbags. 16+ server. Skrapegropen Custom client STRONGLY RECOMMENDED if you DO NOT want to INSTALL 20GB of files. Also contains an auto updater: https://github.com/SyntaxNyah/AsyncAO/releases Client files for legacy AO2 clients. https://app.filen.io/<num>/f/f3b03173-e177-418e-98de-3e5dafd162ea<percent>233569674a675059356374395f4c732d7252414135646466542d386e5541647438 Custom webAO link https://webao.miku.pizza/client.html?mode=join<and>connect=wss://hatsune.miku.pizza:443<and>serverName=Skrapegropen Ban appeal requests @ fddfaadfskitta@proton.me#%
[2026-08-19T19:36:46.668Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | FL#noencryption#yellowtext#prezoom#flipping#customobjections#fastloading#deskmod#evidence#cccc_ic_support#arup#casing_alerts#modcall_reason#looping_sfx#additive#effects#y_offset#expanded_desk_mods#auth_packet#%
[2026-08-19T19:36:46.668Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | ASS#https://miku.pizza/base/#%
[2026-08-19T19:36:46.668Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | VS_CAPS#1#0#10#opus#48000#20#4000#%
[2026-08-19T19:36:46.714Z] SEND | IPID:jkOFNA6/HhSkQV1JjiKHOg | HDID: | decryptor#JSON#%
[2026-08-19T19:36:46.718Z] RECV | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | askchaa#
[2026-08-19T19:36:46.718Z] SEND | IPID:brzhi4i+xWrK0GrfFboLtA | HDID:orcTV0XwG9X8yPTyMQHoFQ | SI#4421#0#1349#%
[2026-08-19T19:36:46.748Z] RECV | IPID:VnG2nPTnAdDAcllcoIFADw | HDID:mws1YU5pvq3ySspmYFXlWA | RC#
